Timestamp,Q1. Do you currently studying in a medical field?,Q3. Have you used any AI-based medical tool before?  ,1. I think that I would like to use this system frequently.,2. I found the system unnecessarily complex.,3. I thought the system was easy to use.,4. I think that I would need the support of a technical person to be able to use this system.,5. I found the various functions in this system were well integrated.,6. I thought there was too much inconsistency in this system.,7. I would imagine that most people would learn to use this system very quickly.,8. I found the system very cumbersome to use.,9. I felt very confident using the system.,10. I needed to learn a lot of things before I could get going with this system.,Q11. What did you like most about the system?,Q12. What would you change or improve about the system?  ,Q2. What is your current year of study?  ,"By continuing, you are consent towards your participation."
6/11/2026 13:14:54,Yes,No,4,1,3,2,5,2,4,2,5,2,Everything,Use streamlit community cloud. I need to wait for the creator to open his server before I can open the web.,Year 3,
6/15/2026 1:15:40,Yes,Yes,4,2,4,2,4,4,4,2,4,2,The ease if usee,"do more disease, dont restrict to only fre diagnosis.

Can make more xray other than chest",Year 5,
6/15/2026 22:51:47,Yes,Yes,4,2,5,3,4,2,5,2,4,3,the ui ,i think the system is good,Year 4,
6/15/2026 22:57:43,Yes,No,4,2,4,2,4,3,5,2,3,1,"Convenience, easy to use","Must ask for clinical history so the AI can understand context of the image. Different diseases show up the same way on x-ray, so AI interpreting an image without clinical history can give wrong diagnoses.",Year 5,
6/15/2026 23:17:09,Yes,Yes,4,2,4,2,4,3,5,2,4,3,Quite accurate,Nope,Year 5,
6/16/2026 6:09:13,Yes,No,5,1,5,1,5,1,5,1,3,1,very minimalist and easy to use,if users can add on a brief history of the patient with the attachment of the xray to help AI generates more precise answers,Year 5,
6/16/2026 18:06:18,No,No,3,1,5,2,5,2,4,1,5,1,Fast results,-,Year 3,
6/16/2026 23:12:22,No,Yes,4,1,3,5,5,5,5,5,5,5,Easy to understand ,Include other tabs for different dashboard ,Year 3,
6/17/2026 12:11:27,No,No,4,2,5,4,5,1,3,2,4,5,The User Interface is fleshed out and I like it.,Maybe integrate some user manual inside the website (if the website has one i probably miss it),Year 3,
6/17/2026 23:20:04,No,Yes,5,1,5,4,5,5,5,3,5,5,Implemented AI Feature,add AI Chat feature for further Analysis or Question,Year 3,
6/17/2026 23:38:20,No,No,4,4,4,5,5,2,5,4,3,4,The system helps to generate reports from X-Ray findings so that Doctors needn't to hassle in writing an overly verbose report.,"The system were indeed very great concept. However, ones needed to cross reference with their knowledges to ensure the generated report didn't misleading and required real-time sources",Year 3,
6/18/2026 0:06:09,No,No,5,1,5,2,4,2,5,1,5,2,,,Year 3,
6/18/2026 0:10:09,No,No,4,2,4,2,5,1,5,1,4,1,It can provide me various example of disease with xray so I could understand what is the exact disease.,no,Year 3,
6/18/2026 0:40:59,Yes,Yes,5,1,5,1,5,1,5,1,5,1,,,Year 3,
6/18/2026 12:51:35,Yes,Yes,5,3,4,4,5,1,5,1,5,1,the dashboard is really to understand ,none,Year 4,
